col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,retail_price,discounted_price,product_rating,discount,shipping,date
0,0,0,0,0,0,1,0,0,2,899,675,5,24.92,0,10/01/2021
0,1,0,1,0,0,0,0,0,1,799,599,4,25.03,0,25/01/2021
0,0,0,0,0,1,0,0,1,1,7250,6999,4,3.46,0,10/01/2021
0,1,0,0,0,0,1,0,1,0,2250,1490,5,33.78,0,10/01/2021
0,1,0,1,0,0,0,0,1,0,2800,1850,5,33.93,0,10/01/2021
0,1,0,0,0,0,0,1,1,0,3000,2350,1,21.67,0,10/01/2021
1,1,0,0,0,0,0,0,1,0,2250,1490,3,33.78,0,10/01/2021
1,1,0,0,0,0,0,0,1,0,2250,1490,3,33.78,0,25/01/2021
0,1,0,0,0,1,0,0,1,0,2250,1490,1,33.78,0,10/01/2021
0,1,0,0,0,0,1,0,1,0,2800,1790,2,36.07,0,10/01/2021
0,1,0,0,0,1,0,0,1,0,2600,1790,2,31.15,0,10/01/2021
0,1,0,1,0,0,0,0,1,0,2300,1490,1,35.22,0,10/01/2021
0,1,0,1,0,0,0,0,1,0,3500,2750,5,21.43,0,10/01/2021
0,1,0,0,0,0,0,1,1,0,3500,2750,4,21.43,0,10/01/2021
0,1,0,1,0,0,0,0,1,0,2250,1490,1,33.78,0,10/01/2021
0,2,0,0,0,0,0,0,1,0,2250,1490,5,33.78,0,10/01/2021
0,1,0,0,0,0,0,0,1,1,2400,1890,4,21.25,0,10/01/2021
0,1,0,0,1,0,0,0,1,0,2500,2090,3,16.4,0,10/01/2021
0,2,0,0,0,0,0,0,1,0,2250,1490,4,33.78,0,10/01/2021
0,1,1,0,0,0,0,0,1,0,2250,1490,4,33.78,0,10/01/2021
0,1,1,0,0,0,0,0,1,0,2250,1490,4,33.78,0,25/01/2021
0,1,0,0,0,0,0,1,1,0,2250,1490,1,33.78,0,10/01/2021
0,1,0,0,0,1,0,0,1,0,3200,2260,4,29.38,0,10/01/2021
0,1,0,0,0,0,0,0,1,1,2250,1490,3,33.78,0,10/01/2021
1,1,0,0,0,0,0,0,1,0,3500,2750,4,21.43,0,10/01/2021
0,1,1,0,0,0,0,0,1,0,2500,1890,5,24.4,0,10/01/2021
1,1,0,0,0,0,0,0,1,0,2100,1350,5,35.71,0,10/01/2021
1,1,0,0,0,0,0,0,1,0,2250,1460,2,35.11,0,10/01/2021
0,1,0,0,0,0,0,0,1,1,2600,1750,4,32.69,0,10/01/2021
0,1,1,0,0,0,0,0,1,0,2400,1650,1,31.25,0,10/01/2021
0,2,0,0,0,0,0,0,1,0,2250,1460,4,35.11,0,10/01/2021
1,1,0,0,0,0,0,0,1,0,3500,2650,3,24.29,0,10/01/2021
0,1,0,0,1,0,0,0,1,0,3500,2650,3,24.29,0,10/01/2021
0,1,0,0,0,0,0,1,1,0,3200,2250,5,29.69,0,10/01/2021
0,2,0,0,0,0,0,0,1,0,2800,1860,4,33.57,0,10/01/2021
0,1,0,0,1,0,0,0,1,0,2250,1460,3,35.11,0,10/01/2021
0,1,0,0,2,0,0,0,0,0,1259,474,4,62.35,0,10/01/2021
0,1,0,0,1,0,0,0,1,0,2250,1460,4,35.11,0,10/01/2021
0,1,0,0,0,0,1,0,1,0,3500,2250,4,35.71,0,10/01/2021
0,1,0,1,0,0,0,0,1,0,3200,2160,5,32.5,0,10/01/2021
0,1,0,0,0,0,0,0,1,1,2600,1750,1,32.69,0,10/01/2021
0,2,0,0,0,0,0,0,1,0,2250,1460,2,35.11,0,10/01/2021
0,1,0,1,0,0,0,0,1,0,3200,2250,3,29.69,0,10/01/2021
0,1,0,0,1,0,0,0,1,0,2600,1750,2,32.69,0,10/01/2021
0,0,0,0,2,0,0,0,0,1,399,174,1,56.39,40,10/01/2021
