col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,product_name,brand,product_category_tree
0,0,0,0,0,0,1,0,0,2,1OAK Women's Floral Print Casual Shirt,1OAK,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> 1OAK Shirts >> 1OAK Women's Floral Print Casual Shirt""]"
0,1,0,1,0,0,0,0,0,1,1OAK Women's Polka Print Casual Shirt,1OAK,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> 1OAK Shirts >> 1OAK Women's Polka Print Casual Shirt""]"
0,0,0,0,0,1,0,0,1,1,3D Mat Floor Car Mat Toyota Innova,3D Mat,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,0,1,0,1,0,3a AUTOCARE Car Mat Chevrolet Beat,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,1,0,0,0,0,1,0,3a AUTOCARE Car Mat Honda City,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,0,0,1,1,0,3a AUTOCARE Car Mat Honda Mobilio,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
1,1,0,0,0,0,0,0,1,0,3a AUTOCARE Car Mat Hyundai Grand i10,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
1,1,0,0,0,0,0,0,1,0,3a AUTOCARE Car Mat Hyundai Grand i10,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,1,0,0,1,0,3a AUTOCARE Car Mat Hyundai Santro,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,0,1,0,1,0,3a AUTOCARE Car Mat Hyundai Verna,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,1,0,0,1,0,3a AUTOCARE Car Mat Hyundai Xcent,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,1,0,0,0,0,1,0,3a AUTOCARE Car Mat Hyundai i20,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,1,0,0,0,0,1,0,3a AUTOCARE Car Mat Mahindra Scorpio,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,0,0,1,1,0,3a AUTOCARE Car Mat Mahindra XUV 500,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,1,0,0,0,0,1,0,3a AUTOCARE Car Mat Maruti Alto K10,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,2,0,0,0,0,0,0,1,0,3a AUTOCARE Car Mat Maruti Celerio,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,0,0,0,1,1,3a AUTOCARE Car Mat Maruti Ciaz,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,1,0,0,0,1,0,3a AUTOCARE Car Mat Maruti Ertiga,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,2,0,0,0,0,0,0,1,0,3a AUTOCARE Car Mat Maruti Swift,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,1,0,0,0,0,0,1,0,3a AUTOCARE Car Mat Maruti Swift Dzire,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,1,0,0,0,0,0,1,0,3a AUTOCARE Car Mat Maruti Swift Dzire,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,0,0,1,1,0,3a AUTOCARE Car Mat Nissan Micra,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,1,0,0,1,0,3a AUTOCARE Car Mat Nissan Terrano,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,0,0,0,1,1,3a AUTOCARE Car Mat Toyota Etios Liva,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
1,1,0,0,0,0,0,0,1,0,3a AUTOCARE Car Mat Toyota Innova,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,1,0,0,0,0,0,1,0,3a AUTOCARE Car Mat Volkswagen Polo,3a AUTOCARE,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
1,1,0,0,0,0,0,0,1,0,3a Autocare 3D MAT Car Mat Suzuki New Swift,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
1,1,0,0,0,0,0,0,1,0,3a Autocare Beat Car Mat Chevrolet Beat,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,0,0,0,1,1,3a Autocare City Car Mat Honda City,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,1,0,0,0,0,0,1,0,3a Autocare Etios Car Mat Toyota Etios,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,2,0,0,0,0,0,0,1,0,3a Autocare Etios Liva Car Mat Toyota Etios Liva,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
1,1,0,0,0,0,0,0,1,0,3a Autocare Fortuner Car Mat Toyota Fortuner,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,1,0,0,0,1,0,3a Autocare Innova Car Mat Toyota Innova,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,0,0,1,1,0,3a Autocare Mobilio Car Mat Honda Mobilio,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,2,0,0,0,0,0,0,1,0,3a Autocare Polo Car Mat Volkswagen Polo,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,1,0,0,0,1,0,3a Autocare Ritz Car Mat Maruti Ritz,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,2,0,0,0,0,0,3a Autocare Rubber Mat Car Mat Suzuki New Swift,3a Autocare,"[""Automotive >> Car Accessories >> Car Interior >> Car Mats""]"
0,1,0,0,1,0,0,0,1,0,3a Autocare Santro Car Mat Hyundai Santro,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,0,0,0,1,0,1,0,3a Autocare Scorpio Car Mat Mahindra Scorpio,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
0,1,0,1,0,0,0,0,1,0,3a Autocare Terrano Car Mat Nissan Terrano,3a Autocare,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Mats""]"
